               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076075,             0.03222,            0.022798,             0.59277,             0.36096,             0.33435,             0.12773,            0.056058,            0.013399,            0.020981,            0.070261,           0.0033043,           0.0033043
                   1,            0.055559,            0.019801,           0.0070458,             0.40633,              0.6662,             0.46736,             0.22448,            0.055156,             0.01034,           0.0067817,            0.040195,            0.006572,            0.006572
                   2,             0.05078,            0.017448,            0.004606,             0.37345,             0.74013,             0.49766,             0.23377,             0.05048,            0.011239,            0.006984,            0.010063,           0.0097736,           0.0097736
                   3,            0.042672,            0.016621,            0.003498,             0.76914,             0.69772,             0.75012,             0.40224,            0.037236,           0.0098022,           0.0068036,            0.009703,            0.009703,            0.009703
                   4,            0.036318,            0.015178,           0.0027251,             0.75666,             0.68584,             0.75714,             0.45434,            0.038321,            0.010289,            0.007884,            0.009703,            0.009703,            0.009703
                   5,             0.03374,             0.01452,           0.0020017,             0.83766,             0.81919,             0.85584,             0.49822,            0.032545,           0.0091747,           0.0068715,            0.009604,            0.009604,            0.009604
                   6,            0.031764,            0.013982,           0.0017459,             0.83152,              0.8313,             0.85729,             0.55948,            0.030327,            0.009273,            0.006908,            0.009505,            0.009505,            0.009505
                   7,            0.030434,            0.014248,           0.0015265,             0.84084,             0.81718,             0.85349,             0.55327,            0.030279,            0.008974,           0.0079383,            0.009406,            0.009406,            0.009406
                   8,            0.028625,             0.01366,           0.0013041,             0.81689,             0.84912,             0.86542,             0.59978,            0.028653,           0.0087619,           0.0027116,            0.009307,            0.009307,            0.009307
                   9,            0.027941,            0.013352,            0.001295,             0.82751,             0.77872,             0.84275,             0.55114,            0.030506,           0.0089354,           0.0069691,            0.009208,            0.009208,            0.009208
                  10,            0.027321,             0.01347,           0.0011672,             0.78998,             0.81601,             0.84935,             0.58557,            0.026482,            0.008542,           0.0031074,            0.009109,            0.009109,            0.009109
                  11,            0.026183,            0.013345,           0.0010949,             0.83591,             0.83453,             0.87118,              0.6023,            0.028619,           0.0082457,           0.0068225,             0.00901,             0.00901,             0.00901
                  12,            0.026147,            0.013028,          0.00097863,             0.82963,             0.86448,             0.87942,             0.61553,            0.026931,           0.0083738,           0.0062261,            0.008911,            0.008911,            0.008911
                  13,            0.025362,            0.012565,          0.00089891,             0.92958,             0.84334,              0.9149,             0.65279,            0.026323,           0.0083523,           0.0014742,            0.008812,            0.008812,            0.008812
